Cause_of_death,Age,Subjects_gender,Region,Subjects_race,Cluster
Vehicle,16.0,Female,Midwest,European-American/White,2
Gunshot,37.0,Male,Southeast,African-American/Black,1
Gunshot,19.0,Male,Southwest,Hispanic/Latino,0
Others,48.0,Male,Southeast,Hispanic/Latino,1
Gunshot,43.0,Male,Southeast,European-American/White,0
Gunshot,31.0,Male,Southwest,European-American/White,0
Gunshot,42.0,Male,Midwest,European-American/White,0
Gunshot,22.0,Male,Midwest,European-American/White,0
Gunshot,47.0,Male,Southwest,European-American/White,0
Others,30.0,Male,West,Hispanic/Latino,0
Vehicle,66.0,Male,Northeast,European-American/White,2
Gunshot,31.0,Male,Southeast,European-American/White,0
Others,28.0,Male,Southeast,African-American/Black,1
Others,26.0,Female,Southeast,European-American/White,0
Others,6.0,Male,Southeast,European-American/White,0
Gunshot,37.0,Male,West,Asian/Pacific Islander,0
Others,7.0,Female,Southeast,European-American/White,0
Vehicle,18.0,Male,Midwest,European-American/White,2
Others,53.0,Male,West,European-American/White,0
Gunshot,21.0,Male,Southwest,African-American/Black,1
Others,41.0,Male,West,African-American/Black,0
Vehicle,17.0,Male,Midwest,European-American/White,2
Others,35.0,Male,Northeast,European-American/White,0
Gunshot,34.0,Male,Southwest,Hispanic/Latino,0
Gunshot,28.0,Male,West,African-American/Black,0
Gunshot,16.0,Male,Southwest,Hispanic/Latino,0
Gunshot,20.0,Male,West,Hispanic/Latino,0
Gunshot,29.0,Male,Southeast,European-American/White,0
Gunshot,42.0,Male,Midwest,European-American/White,0
Vehicle,5.0,Male,Midwest,European-American/White,2
Vehicle,3.0,Male,Midwest,European-American/White,2
Gunshot,25.0,Male,Northeast,African-American/Black,1
Gunshot,35.0,Male,West,African-American/Black,0
Others,35.0,Male,Midwest,European-American/White,2
Gunshot,29.0,Male,Southeast,European-American/White,0
Gunshot,45.0,Male,Southeast,African-American/Black,1
Gunshot,40.0,Male,Northeast,European-American/White,0
Gunshot,26.0,Male,Southwest,Native American/Alaskan,0
Gunshot,32.0,Male,Southwest,Hispanic/Latino,0
Gunshot,18.0,Male,Southeast,African-American/Black,1
Gunshot,19.0,Male,Southeast,Asian/Pacific Islander,1
Others,11.0,Female,Midwest,African-American/Black,1
Gunshot,39.0,Male,West,European-American/White,0
Gunshot,19.0,Male,West,African-American/Black,0
Vehicle,15.0,Female,Midwest,European-American/White,2
Gunshot,29.0,Male,Midwest,European-American/White,0
Gunshot,27.0,Male,Southwest,European-American/White,0
Vehicle,22.0,Female,Midwest,European-American/White,2
Gunshot,40.0,Male,Southeast,African-American/Black,1
Gunshot,21.0,Male,Midwest,Hispanic/Latino,0
Gunshot,72.0,Male,Southeast,European-American/White,0
Others,41.0,Male,Southeast,African-American/Black,1
Vehicle,23.0,Female,Midwest,Hispanic/Latino,2
